order_id,product_id,product_category_name,price,payment_type,order_purchase_timestamp
25e8ea4e93396b6fa0d3dd708e76c1bd,2028bf1b01cafb2d2b1901fca4083222,perfumaria,56.99,credit_card,"2017-12-12 11:19:55"
1594012ccc1b0770373ce691d697e5ae,b6c312bb8b2e0c3ab0a23d207802f82f,cama_mesa_banho,330,credit_card,"2018-04-23 19:05:57"
068176c8a0550b07cddf7e05c8d55319,9328c3a5c42ae7b32d53e419f9b93d66,moveis_decoracao,45.8,boleto,"2018-01-13 18:13:53"
068176c8a0550b07cddf7e05c8d55319,9328c3a5c42ae7b32d53e419f9b93d66,moveis_decoracao,45.8,boleto,"2018-01-13 18:13:53"
1966886b80f14d0588adf6406afb0026,2028bf1b01cafb2d2b1901fca4083222,perfumaria,56.99,debit_card,"2017-08-22 16:01:44"
0f67e615d797da223ac5601b9b08b180,5135301d684848b74276f22afcc6781c,utilidades_domesticas,49.9,credit_card,"2018-06-07 17:53:48"
07a26b88cc90e93f5c9401de11a60793,4d8c2f14df6a1429692e995d787613a5,bebes,12.9,credit_card,"2018-08-22 12:19:45"
257699bfe87de4eac234324e88db828a,ceb25e5f3be12c14a1c69bd9e9e0f67f,brinquedos,79.99,credit_card,"2018-05-15 14:16:57"
175ba47aad2d017d2495c66b763a7df6,9defd1ffa1cecec71bc4a269ee97938d,moveis_decoracao,49.9,credit_card,"2017-08-05 22:15:00"
175ba47aad2d017d2495c66b763a7df6,9defd1ffa1cecec71bc4a269ee97938d,moveis_decoracao,49.9,credit_card,"2017-08-05 22:15:00"
081e5884f403fbe66f3bce77c72c9230,7b85e3deef35afd6ebed5461ee8f0641,informatica_acessorios,30.21,credit_card,"2017-10-31 15:09:11"
10266b83757aba75b5fb490bfc84fd64,601a360bd2a916ecef0e88de72a6531a,cool_stuff,118.99,credit_card,"2017-08-18 10:44:04"
09249f4625a56408772a45322aadd544,fe75529a267b76ac6e96f0c322a899a4,beleza_saude,119.9,credit_card,"2018-08-07 10:19:43"
1207b88243115c9eafb9931bc2d0b59d,d3060c543b1b88a647cc284ed7a9dd4a,pet_shop,109.99,credit_card,"2017-02-06 13:29:00"
059d893dde97f787f2f608d5a5d13e0b,902a8b8bb0768e8562edc2d903337812,bebes,42.9,boleto,"2018-03-29 11:34:59"
2222dbaded2c9c8406d1cbdeae118948,41ad56651f07e2f6f66f9372c0e89071,perfumaria,29.59,credit_card,"2018-07-03 08:30:36"
12950f3d9bc12065fc5da141faab5780,5c2bb11cf2149bd4d9fffcc1246458c3,papelaria,88.9,credit_card,"2018-06-29 22:06:25"
1233838f2d670d7e4d115557ddcc52bb,53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,163,credit_card,"2017-07-25 09:56:48"
0e02536713cb943858f5cd5b34f43e4c,37b4783642fb927cc790934843b00b06,moveis_decoracao,84.9,boleto,"2017-06-30 10:12:50"
1f70d88d8d6e9880a9e50ee78420c24c,a6a5c394a9908ba4b34f50ce6bbb3465,moveis_decoracao,49,credit_card,"2018-04-18 00:07:32"
048e6e4623dbf118c43e0f5572016faa,a04087ab6a96ffa041f8a2701a72b616,pcs,599,credit_card,"2017-12-31 17:57:21"
